iter	Passed	Remaining
0	158	158629
1	160	80198
2	162	54127
3	165	41170
4	168	33545
5	170	28299
6	173	24573
7	175	21757
8	178	19647
9	181	17938
10	183	16515
11	186	15371
12	189	14350
13	191	13495
14	193	12734
15	196	12061
16	198	11482
17	200	10938
18	203	10489
19	205	10060
20	207	9679
21	209	9326
22	212	9009
23	214	8717
24	216	8451
25	218	8200
26	221	7978
27	223	7767
28	226	7575
29	228	7386
30	230	7205
31	232	7032
32	234	6876
33	236	6729
34	239	6596
35	241	6458
36	243	6336
37	245	6223
38	248	6112
39	250	6004
40	252	5894
41	254	5795
42	256	5708
43	258	5614
44	260	5523
45	262	5449
46	264	5367
47	266	5289
48	268	5218
49	270	5146
50	273	5086
51	275	5019
52	277	4953
53	279	4894
54	281	4834
55	283	4773
56	285	4718
57	287	4668
58	289	4618
59	291	4569
60	293	4524
61	296	4479
62	298	4434
63	300	4388
64	302	4349
65	304	4310
66	307	4276
67	309	4239
68	311	4203
69	313	4168
70	316	4136
71	318	4106
72	321	4084
73	323	4053
74	326	4022
75	328	3998
76	331	3968
77	333	3944
78	335	3916
79	338	3890
80	341	3870
81	343	3842
82	344	3804
83	346	3778
84	348	3752
85	351	3732
86	353	3705
87	355	3681
88	357	3661
89	359	3636
90	361	3611
91	364	3593
92	366	3571
93	368	3550
94	370	3529
95	373	3515
96	375	3499
97	377	3478
98	380	3460
99	382	3444
100	385	3429
101	388	3417
102	392	3419
103	395	3409
104	398	3398
105	401	3384
106	404	3375
107	408	3371
108	410	3358
109	413	3343
110	415	3326
111	417	3312
112	420	3300
113	422	3284
114	424	3269
115	427	3256
116	429	3238
117	432	3231
118	434	3214
119	436	3198
120	438	3182
121	439	3165
122	441	3149
123	443	3134
124	446	3123
125	448	3110
126	450	3098
127	453	3087
128	455	3078
129	458	3066
130	460	3054
131	462	3043
132	464	3029
133	467	3024
134	470	3012
135	472	3000
136	475	2996
137	477	2983
138	479	2972
139	482	2962
140	484	2950
141	485	2935
142	488	2927
143	490	2917
144	493	2908
145	495	2900
146	499	2895
147	502	2892
148	505	2889
149	508	2881
150	511	2877
151	514	2871
152	518	2868
153	520	2860
154	523	2853
155	526	2847
156	529	2840
157	531	2833
158	534	2827
159	536	2819
160	538	2807
161	542	2806
162	546	2803
163	550	2803
164	554	2803
165	556	2798
166	559	2793
167	563	2789
168	566	2786
169	569	2782
170	572	2777
171	575	2772
172	578	2766
173	581	2759
174	584	2757
175	587	2750
176	590	2743
177	592	2737
178	595	2733
179	598	2728
180	601	2720
181	603	2713
182	606	2706
183	608	2698
184	612	2698
185	616	2697
186	621	2701
187	624	2697
188	627	2692
189	629	2684
190	632	2679
191	634	2672
192	637	2664
193	639	2656
194	641	2648
195	643	2639
196	645	2631
197	648	2627
198	651	2621
199	653	2612
200	656	2607
201	659	2603
202	661	2595
203	663	2589
204	666	2582
205	668	2574
206	670	2566
207	671	2558
208	673	2550
209	676	2544
210	678	2536
211	680	2528
212	682	2520
213	683	2512
214	685	2504
215	689	2501
216	691	2494
217	693	2487
218	695	2481
219	697	2474
220	700	2468
221	702	2462
222	704	2455
223	707	2449
224	709	2442
225	711	2437
226	714	2431
227	716	2425
228	718	2420
229	720	2413
230	722	2405
231	724	2398
232	726	2391
233	728	2384
234	730	2377
235	732	2371
236	734	2363
237	735	2356
238	737	2349
239	739	2342
240	741	2335
241	743	2329
242	745	2323
243	747	2316
244	749	2310
245	751	2304
246	753	2297
247	756	2292
248	758	2287
249	760	2282
250	762	2276
251	765	2271
252	767	2266
253	769	2261
254	772	2255
255	774	2250
256	777	2247
257	779	2242
258	781	2236
259	783	2230
260	785	2224
261	788	2220
262	790	2214
263	792	2208
264	794	2202
265	796	2197
266	798	2192
267	800	2186
268	802	2180
269	804	2175
270	806	2170
271	808	2164
272	811	2161
273	813	2155
274	815	2149
275	817	2143
276	819	2138
277	821	2133
278	824	2129
279	826	2125
280	828	2121
281	831	2115
282	833	2110
283	834	2105
284	837	2100
285	839	2095
286	841	2091
287	843	2086
288	845	2081
289	848	2077
290	850	2072
291	853	2069
292	855	2064
293	857	2059
294	860	2057
295	863	2053
296	865	2048
297	867	2044
298	870	2041
299	873	2037
300	875	2032
301	877	2027
302	879	2023
303	881	2018
304	884	2015
305	886	2010
306	888	2005
307	891	2002
308	893	1997
309	895	1993
310	897	1988
311	899	1983
312	901	1978
313	903	1973
314	905	1969
315	908	1966
316	910	1962
317	913	1958
318	915	1954
319	918	1951
320	921	1948
321	923	1944
322	926	1941
323	928	1936
324	930	1932
325	932	1928
326	934	1924
327	936	1919
328	938	1915
329	940	1910
330	942	1905
331	945	1901
332	947	1896
333	948	1892
334	951	1888
335	953	1884
336	955	1880
337	957	1875
338	959	1871
339	961	1866
340	963	1862
341	965	1857
342	967	1852
343	969	1848
344	971	1844
345	973	1840
346	975	1835
347	977	1831
348	979	1826
349	981	1822
350	983	1817
351	985	1814
352	988	1812
353	990	1807
354	992	1803
355	994	1799
